,full_reference_code,Defect,Category,section_name,section_number,sub_section_name,sub_section_number,topic_name,topic_number,sub_topic_name,sub_topic_number,point
169,2.1.3 (c) (i),(c) A steering linkage component: (i) fractured or deformed,Major,Steering,2,Mechanical condition,1,Steering linkage condition,3.0,,,(c) (i)
170,2.1.3 (c) (ii),(c) A steering linkage component: (ii) fractured or deformed to the extent that steering is affected,Dangerous,Steering,2,Mechanical condition,1,Steering linkage condition,3.0,,,(c) (ii)
171,2.1.3 (d),(d) Steering linkage retaining or locking device missing or ineffective,Major,Steering,2,Mechanical condition,1,Steering linkage condition,3.0,,,(d)
172,2.1.3 (e),(e) Track rod or drag link ends seriously misaligned,Major,Steering,2,Mechanical condition,1,Steering linkage condition,3.0,,,(e)
173,2.1.3 (f) (i),(f) A steering linkage component: (i) with an unsafe modification,Major,Steering,2,Mechanical condition,1,Steering linkage condition,3.0,,,(f) (i)
174,2.1.3 (f) (ii),(f) A steering linkage component: (ii) modified to the extent that steering is affected,Dangerous,Steering,2,Mechanical condition,1,Steering linkage condition,3.0,,,(f) (ii)
175,2.1.3 (g) (i),(g) Steering rack gaiter or ball joint dust cover: (i) damaged or deteriorated,Minor,Steering,2,Mechanical condition,1,Steering linkage condition,3.0,,,(g) (i)
176,2.1.3 (g) (ii),(g) Steering rack gaiter or ball joint dust cover: (ii) missing or no longer prevents the ingress of dirt etc.,Major,Steering,2,Mechanical condition,1,Steering linkage condition,3.0,,,(g) (ii)
177,2.1.3 (h) (i),(h) Rear wheel steering inoperative and: (i) rear wheels not held in the substantially straight ahead position,Major,Steering,2,Mechanical condition,1,Steering linkage condition,3.0,,,(h) (i)
178,2.1.3 (h) (ii),(h) Rear wheel steering inoperative and: (ii) control of vehicle adversely affected,Dangerous,Steering,2,Mechanical condition,1,Steering linkage condition,3.0,,,(h) (ii)
179,2.1.4 (a),(a) Steering linkage fouling any part of the vehicle,Major,Steering,2,Mechanical condition,1,Steering linkage operation,4.0,,,(a)
180,2.1.4 (b),(b) Steering lock-stop missing or incorrectly adjusted,Major,Steering,2,Mechanical condition,1,Steering linkage operation,4.0,,,(b)
181,2.1.5 (a),(a) Power steering fluid leaking or system malfunctioning,Major,Steering,2,Mechanical condition,1,Power steering,5.0,,,(a)
182,2.1.5 (b) (i),(b) Power steering fluid: (i) level below minimum mark,Minor,Steering,2,Mechanical condition,1,Power steering,5.0,,,(b) (i)
183,2.1.5 (b) (ii),(b) Power steering fluid: (ii) reservoir empty,Major,Steering,2,Mechanical condition,1,Power steering,5.0,,,(b) (ii)
184,2.1.5 (c) (i),(c) Power steering: (i) inoperative,Major,Steering,2,Mechanical condition,1,Power steering,5.0,,,(c) (i)
185,2.1.5 (c) (ii),(c) Power steering: (ii) inoperative and steering adversely affected,Dangerous,Steering,2,Mechanical condition,1,Power steering,5.0,,,(c) (ii)
186,2.1.5 (d) (i),(d) Power steering component: (i) fractured or insecure,Major,Steering,2,Mechanical condition,1,Power steering,5.0,,,(d) (i)
187,2.1.5 (d) (ii),(d) Power steering component: (ii) fractured or insecure and steering adversely affected,Dangerous,Steering,2,Mechanical condition,1,Power steering,5.0,,,(d) (ii)
188,2.1.5 (e) (i),(e) Power steering component: (i) fouling or misaligned,Major,Steering,2,Mechanical condition,1,Power steering,5.0,,,(e) (i)
189,2.1.5 (e) (ii),(e) Power steering component: (ii) fouling or misaligned and steering adversely affected,Dangerous,Steering,2,Mechanical condition,1,Power steering,5.0,,,(e) (ii)
190,2.1.5 (f) (i),(f) Power steering component: (i) with an unsafe modification,Major,Steering,2,Mechanical condition,1,Power steering,5.0,,,(f) (i)
191,2.1.5 (f) (ii),(f) Power steering component: (ii) modified and steering adversely affected,Dangerous,Steering,2,Mechanical condition,1,Power steering,5.0,,,(f) (ii)
192,2.1.5 (g) (i),"(g) Power steering pipe, hose or wiring: (i) excessively damaged or corroded",Major,Steering,2,Mechanical condition,1,Power steering,5.0,,,(g) (i)
193,2.1.5 (g) (ii),"(g) Power steering pipe, hose or wiring: (ii) damaged or corroded and steering adversely affected",Dangerous,Steering,2,Mechanical condition,1,Power steering,5.0,,,(g) (ii)
194,2.2.1 (a) (i),(a) Relative movement between steering wheel and column: (i) indicating looseness,Major,Steering,2,"Steering wheel and column or handlebar, forks and yokes",2,Steering wheel or handlebar condition,1.0,,,(a) (i)
195,2.2.1 (a) (ii),(a) Relative movement between steering wheel and column: (ii) such that there is a serious risk of detachment,Dangerous,Steering,2,"Steering wheel and column or handlebar, forks and yokes",2,Steering wheel or handlebar condition,1.0,,,(a) (ii)
196,2.2.1 (b) (i),(b) Steering wheel: (i) retaining device missing,Major,Steering,2,"Steering wheel and column or handlebar, forks and yokes",2,Steering wheel or handlebar condition,1.0,,,(b) (i)
197,2.2.1 (b) (ii),(b) Steering wheel: (ii) likely to become detached,Dangerous,Steering,2,"Steering wheel and column or handlebar, forks and yokes",2,Steering wheel or handlebar condition,1.0,,,(b) (ii)
198,2.2.1 (c) (i),(c) Steering wheel rim or spokes: (i) fractured or loose,Major,Steering,2,"Steering wheel and column or handlebar, forks and yokes",2,Steering wheel or handlebar condition,1.0,,,(c) (i)
199,2.2.1 (c) (ii),(c) Steering wheel rim or spokes: (ii) likely to become detached,Dangerous,Steering,2,"Steering wheel and column or handlebar, forks and yokes",2,Steering wheel or handlebar condition,1.0,,,(c) (ii)
200,2.2.1 (d) (i),(d) Handlebar: (i) fractured or insecure,Major,Steering,2,"Steering wheel and column or handlebar, forks and yokes",2,Steering wheel or handlebar condition,1.0,,,(d) (i)
201,2.2.1 (d) (ii),(d) Handlebar: (ii) fractured or insecure to the extent that steering is adversely affected or detachment likely,Dangerous,Steering,2,"Steering wheel and column or handlebar, forks and yokes",2,Steering wheel or handlebar condition,1.0,,,(d) (ii)
202,2.2.1 (e) (i),(e) Handlebar: (i) excessively deformed or corroded,Major,Steering,2,"Steering wheel and column or handlebar, forks and yokes",2,Steering wheel or handlebar condition,1.0,,,(e) (i)
203,2.2.1 (e) (ii),(e) Handlebar: (ii) deformed or corroded to the extent that steering is adversely affected or failure likely,Dangerous,Steering,2,"Steering wheel and column or handlebar, forks and yokes",2,Steering wheel or handlebar condition,1.0,,,(e) (ii)
204,2.2.1 (f) (i),(f) Handlebar handgrips: (i) missing,Major,Steering,2,"Steering wheel and column or handlebar, forks and yokes",2,Steering wheel or handlebar condition,1.0,,,(f) (i)
205,2.2.1 (f) (ii),(f) Handlebar handgrips: (ii) insecure to handlebar,Dangerous,Steering,2,"Steering wheel and column or handlebar, forks and yokes",2,Steering wheel or handlebar condition,1.0,,,(f) (ii)
206,2.2.2 (a),(a) Excessive movement of centre of steering wheel up or down,Major,Steering,2,"Steering wheel and column or handlebar, forks and yokes",2,Steering column or forks and yokes,2.0,,,(a)
207,2.2.2 (b),(b) Excessive radial movement between the top of the steering column and the shaft indicating an excessively worn top bearing,Major,Steering,2,"Steering wheel and column or handlebar, forks and yokes",2,Steering column or forks and yokes,2.0,,,(b)
208,2.2.2 (c),(c) Excessive wear or play in a universal joint or a flexible coupling excessively deteriorated,Major,Steering,2,"Steering wheel and column or handlebar, forks and yokes",2,Steering column or forks and yokes,2.0,,,(c)
209,2.2.2 (d) (i),(d) Attachment of steering column: (i) defective,Major,Steering,2,"Steering wheel and column or handlebar, forks and yokes",2,Steering column or forks and yokes,2.0,,,(d) (i)
210,2.2.2 (d) (ii),(d) Attachment of steering column: (ii) defective to the extent that there is a serious risk of detachment,Dangerous,Steering,2,"Steering wheel and column or handlebar, forks and yokes",2,Steering column or forks and yokes,2.0,,,(d) (ii)
211,2.2.2 (e),"(e) Unsafe modification to steering column, forks or fork yoke",Major,Steering,2,"Steering wheel and column or handlebar, forks and yokes",2,Steering column or forks and yokes,2.0,,,(e)
212,2.2.2 (f) (i),"(f) Forks or fork yoke: (i) deformed, fractured or insecure",Major,Steering,2,"Steering wheel and column or handlebar, forks and yokes",2,Steering column or forks and yokes,2.0,,,(f) (i)
213,2.2.2 (f) (ii),(f) Forks or fork yoke: (ii) in such a condition that steering control is adversely affected or detachment likely,Dangerous,Steering,2,"Steering wheel and column or handlebar, forks and yokes",2,Steering column or forks and yokes,2.0,,,(f) (ii)
214,2.2.2 (g),(g) Steering head bearings have excessive wear or play,Major,Steering,2,"Steering wheel and column or handlebar, forks and yokes",2,Steering column or forks and yokes,2.0,,,(g)
215,2.3 (a) (i),"(a) Free play in the steering, measured at the rim of the steering wheel is: (i) excessive",Major,Steering,2,Steering play,3,,,,,(a) (i)
216,2.3 (a) (ii),"(a) Free play in the steering, measured at the rim of the steering wheel is: (ii) excessive to the extent that safe steering is affected",Dangerous,Steering,2,Steering play,3,,,,,(a) (ii)
217,2.6 (a),(a) EPS MIL indicating a system malfunction,Major,Steering,2,Electronic power steering (EPS),6,,,,,(a)
218,2.6 (b) (i),"(b) On ‘fly by wire systems’, the angle of the steering wheel and the angle of the road wheels is: (i) inconsistent",Major,Steering,2,Electronic power steering (EPS),6,,,,,(b) (i)
219,2.6 (b) (ii),"(b) On ‘fly by wire systems’, the angle of the steering wheel and the angle of the road wheels is: (ii) inconsistent to the extent that the steering is adversely affected",Dangerous,Steering,2,Electronic power steering (EPS),6,,,,,(b) (ii)
220,2.6 (c),(c) Electronic power assistance not working,Major,Steering,2,Electronic power steering (EPS),6,,,,,(c)
221,3.1 (a) (i),(a) An obstruction: (i) within the driver’s field of view that significantly affects his view in front or to the sides outside the swept area of windscreen,Minor,Visibility,3,Field of vision,1,,,,,(a) (i)
222,3.1 (a) (ii),(a) An obstruction: (ii) significantly affecting the driver’s view of the road through the swept area of the windscreen or an obligatory external mirror not visible,Major,Visibility,3,Field of vision,1,,,,,(a) (ii)
223,3.1 (b) (i),(b) A bonnet: (i) which cannot be safely secured in the closed position,Major,Visibility,3,Field of vision,1,,,,,(b) (i)
224,3.1 (b) (ii),(b) A bonnet: (ii) seriously at risk of opening inadvertently,Dangerous,Visibility,3,Field of vision,1,,,,,(b) (ii)
225,3.1 (c),"(c) A bonnet primary retaining device excessively deteriorated, ineffective or insecure",Major,Visibility,3,Field of vision,1,,,,,(c)
226,3.2 (a) (i),(a) Windscreen or window damaged or seriously discoloured: (i) but not adversely affecting driver’s view,Minor,Visibility,3,Condition of glass,2,,,,,(a) (i)
227,3.2 (a) (ii),(a) Windscreen or window damaged or seriously discoloured: (ii) and affecting the driver’s view of the road or of an obligatory external mirror,Major,Visibility,3,Condition of glass,2,,,,,(a) (ii)
228,3.2 (b) (i),(b) Windscreen or window excessively tinted: (i) but not adversely affecting driver’s view,Minor,Visibility,3,Condition of glass,2,,,,,(b) (i)
229,3.2 (b) (ii),(b) Windscreen or window excessively tinted: (ii) and visibility through swept area of windscreen or of an obligatory external mirror seriously affected,Major,Visibility,3,Condition of glass,2,,,,,(b) (ii)
230,3.2 (c) (i),(c) Windscreen or window: (i) in an unacceptable condition e.g. due to excessive scratching,Major,Visibility,3,Condition of glass,2,,,,,(c) (i)
231,3.2 (c) (ii),(c) Windscreen or window: (ii) in such a condition that visibility through swept area is seriously affected,Dangerous,Visibility,3,Condition of glass,2,,,,,(c) (ii)
232,3.2 (d),(d) The windscreen or a window wholly or partly on either side of the driver’s seat is not made from safety glass,Major,Visibility,3,Condition of glass,2,,,,,(d)
233,3.2 (e),(e) A window not wholly or partly on either side of the driver’s seat is not made from safety glass or safety glazing,Major,Visibility,3,Condition of glass,2,,,,,(e)
234,3.3 (a),(a) Obligatory mirror or device missing,Major,Visibility,3,View to rear,3,,,,,(a)
235,3.3 (b) (i),(b) Obligatory mirror or device: (i) slightly damaged or loose,Minor,Visibility,3,View to rear,3,,,,,(b) (i)
236,3.3 (b) (ii),"(b) Obligatory mirror or device: (ii) inoperative, excessively damaged or insecure",Major,Visibility,3,View to rear,3,,,,,(b) (ii)
237,3.3 (c),(c) Obligatory mirror or device not providing an adequate view to the rear,Major,Visibility,3,View to rear,3,,,,,(c)
238,3.4 (a),(a) Wiper not operating or missing,Major,Visibility,3,Windscreen wipers,4,,,,,(a)
239,3.4 (b) (i),(b) Wiper blade: (i) defective,Minor,Visibility,3,Windscreen wipers,4,,,,,(b) (i)
240,3.4 (b) (ii),(b) Wiper blade: (ii) missing or obviously not clearing the windscreen,Major,Visibility,3,Windscreen wipers,4,,,,,(b) (ii)
241,3.5 (a),(a) Windscreen washers not working or not providing sufficient fluid to clear the windscreen,Major,Visibility,3,Windscreen washers,5,,,,,(a)
242,4.1.1 (a) (i),(a) A headlamp: (i) with up to ½ light sources not functioning in the case of LED,Minor,"Lamps, reflectors and electrical equipment",4,Headlamps,1,"Presence, condition and operation",1.0,,,(a) (i)
243,4.1.1 (a) (ii),"(a) A headlamp: (ii) missing, inoperative or more than ½ not functioning in the case of LED",Major,"Lamps, reflectors and electrical equipment",4,Headlamps,1,"Presence, condition and operation",1.0,,,(a) (ii)
244,4.1.1 (b) (i),(b) Headlamp reflector or lens: (i) slightly defective,Minor,"Lamps, reflectors and electrical equipment",4,Headlamps,1,"Presence, condition and operation",1.0,,,(b) (i)
245,4.1.1 (b) (ii),(b) Headlamp reflector or lens: (ii) seriously defective or missing,Major,"Lamps, reflectors and electrical equipment",4,Headlamps,1,"Presence, condition and operation",1.0,,,(b) (ii)
246,4.1.1 (c),(c) Lamp not securely attached,Major,"Lamps, reflectors and electrical equipment",4,Headlamps,1,"Presence, condition and operation",1.0,,,(c)
247,4.1.2 (a),(a) The aim of a headlamp is not within limits laid down in the requirements,Major,"Lamps, reflectors and electrical equipment",4,Headlamps,1,Headlamp alignment,2.0,,,(a)
248,4.1.2 (b),(b) Headlamp aim unable to be tested,Major,"Lamps, reflectors and electrical equipment",4,Headlamps,1,Headlamp alignment,2.0,,,(b)
249,4.1.2 (c),(c) Beam image obviously incorrect,Major,"Lamps, reflectors and electrical equipment",4,Headlamps,1,Headlamp alignment,2.0,,,(c)
250,4.1.3 (a),(a) Headlamp ‘on’ switch does not operate in accordance with the requirements,Minor,"Lamps, reflectors and electrical equipment",4,Headlamps,1,Switching,3.0,,,(a)
251,4.1.3 (b),(b) Headlamp ‘dip’ switch does not operate in accordance with the requirements,Major,"Lamps, reflectors and electrical equipment",4,Headlamps,1,Switching,3.0,,,(b)
252,4.1.4 (a),"(a) Headlamp emitted colour, position or intensity not in accordance with the requirements",Major,"Lamps, reflectors and electrical equipment",4,Headlamps,1,Compliance with requirements,4.0,,,(a)
253,4.1.4 (b),(b) Product on the lens or light source which obviously reduces light intensity or changes emitted colour to other than white or yellow,Major,"Lamps, reflectors and electrical equipment",4,Headlamps,1,Compliance with requirements,4.0,,,(b)
254,4.1.4 (c),(c) Light source and lamp not compatible,Major,"Lamps, reflectors and electrical equipment",4,Headlamps,1,Compliance with requirements,4.0,,,(c)
255,4.1.4 (d),"(d) Mandatory headlamps, intended to be a matched pair, are not the same shape, size or colour",Major,"Lamps, reflectors and electrical equipment",4,Headlamps,1,Compliance with requirements,4.0,,,(d)
256,4.1.5 (a),(a) Headlamp levelling device inoperative,Major,"Lamps, reflectors and electrical equipment",4,Headlamps,1,Levelling devices,5.0,,,(a)
257,4.1.5 (b),(b) Manual levelling device cannot be operated from the driver’s seat,Major,"Lamps, reflectors and electrical equipment",4,Headlamps,1,Levelling devices,5.0,,,(b)
258,4.1.6 (a) (i),(a) Headlamp cleaning device: (i) inoperative,Minor,"Lamps, reflectors and electrical equipment",4,Headlamps,1,Headlamp cleaning devices,6.0,,,(a) (i)
259,4.1.6 (a) (ii),(a) Headlamp cleaning device: (ii) inoperative in the case of LED or gas discharge systems (HID),Major,"Lamps, reflectors and electrical equipment",4,Headlamps,1,Headlamp cleaning devices,6.0,,,(a) (ii)
260,4.2.1 (a) (i),(a) Lamp: (i) multiple light source up to a half not functioning,Minor,"Lamps, reflectors and electrical equipment",4,"Front and rear position lamps, daytime running lamps and end-outline marker lamps",2,"Presence, condition and operation",1.0,,,(a) (i)
261,4.2.1 (a) (ii),"(a) Lamp: (ii) missing, inoperative or in the case of a multiple light source more than a half not functioning",Major,"Lamps, reflectors and electrical equipment",4,"Front and rear position lamps, daytime running lamps and end-outline marker lamps",2,"Presence, condition and operation",1.0,,,(a) (ii)
262,4.2.1 (b),(b) Defective lens,Major,"Lamps, reflectors and electrical equipment",4,"Front and rear position lamps, daytime running lamps and end-outline marker lamps",2,"Presence, condition and operation",1.0,,,(b)
263,4.2.1 (c) (i),(c) Lamp: (i) not securely attached,Minor,"Lamps, reflectors and electrical equipment",4,"Front and rear position lamps, daytime running lamps and end-outline marker lamps",2,"Presence, condition and operation",1.0,,,(c) (i)
264,4.2.1 (c) (ii),(c) Lamp: (ii) likely to become detached,Major,"Lamps, reflectors and electrical equipment",4,"Front and rear position lamps, daytime running lamps and end-outline marker lamps",2,"Presence, condition and operation",1.0,,,(c) (ii)
265,4.2.2 (a),(a) Switch does not operate in accordance with the requirements or the rear position lamps can be switched off when the headlamps are on,Major,"Lamps, reflectors and electrical equipment",4,"Front and rear position lamps, daytime running lamps and end-outline marker lamps",2,Switching,2.0,,,(a)
266,4.2.2 (b),(b) Function of the switch impaired,Major,"Lamps, reflectors and electrical equipment",4,"Front and rear position lamps, daytime running lamps and end-outline marker lamps",2,Switching,2.0,,,(b)
267,4.2.3 (a) (i),"(a) Lamp: (i) emitted colour, position or intensity not in accordance with the requirements",Minor,"Lamps, reflectors and electrical equipment",4,"Front and rear position lamps, daytime running lamps and end-outline marker lamps",2,Compliance with requirements,3.0,,,(a) (i)
268,4.2.3 (a) (ii),"(a) Lamp: (ii) showing red light to the front, white light to the rear or has heavily reduced light intensity",Major,"Lamps, reflectors and electrical equipment",4,"Front and rear position lamps, daytime running lamps and end-outline marker lamps",2,Compliance with requirements,3.0,,,(a) (ii)
269,4.2.3 (b) (i),(b) A lamp with a product on the lens or light source: (i) which obviously reduces light intensity or changes emitted colour,Minor,"Lamps, reflectors and electrical equipment",4,"Front and rear position lamps, daytime running lamps and end-outline marker lamps",2,Compliance with requirements,3.0,,,(b) (i)
270,4.2.3 (b) (ii),"(b) A lamp with a product on the lens or light source: (ii) which shows red light to the front, white light to the rear or has heavily reduced light intensity",Major,"Lamps, reflectors and electrical equipment",4,"Front and rear position lamps, daytime running lamps and end-outline marker lamps",2,Compliance with requirements,3.0,,,(b) (ii)
271,4.2.3 (c),(c) A lamp adversely affected by the operation of any other lamp,Major,"Lamps, reflectors and electrical equipment",4,"Front and rear position lamps, daytime running lamps and end-outline marker lamps",2,Compliance with requirements,3.0,,,(c)
272,4.3.1 (a) (i),(a) Stop lamp(s): (i) with a multiple light source up to 1/2 not functioning,Minor,"Lamps, reflectors and electrical equipment",4,Stop lamps,3,"Presence, condition and operation",1.0,,,(a) (i)
273,4.3.1 (a) (ii),"(a) Stop lamp(s): (ii) missing, inoperative or in the case of a multiple light source more than 1/2 not functioning",Major,"Lamps, reflectors and electrical equipment",4,Stop lamps,3,"Presence, condition and operation",1.0,,,(a) (ii)
274,4.3.1 (a) (iii),(a) Stop lamp(s): (iii) all missing or inoperative,Dangerous,"Lamps, reflectors and electrical equipment",4,Stop lamps,3,"Presence, condition and operation",1.0,,,(a) (iii)
275,4.3.1 (b) (i),(b) A lens defective: (i) which has no effect on emitted light,Minor,"Lamps, reflectors and electrical equipment",4,Stop lamps,3,"Presence, condition and operation",1.0,,,(b) (i)
276,4.3.1 (b) (ii),(b) A lens defective: (ii) such that the emitted light is adversely affected,Major,"Lamps, reflectors and electrical equipment",4,Stop lamps,3,"Presence, condition and operation",1.0,,,(b) (ii)
277,4.3.1 (c) (i),(c) A stop lamp: (i) not securely attached,Minor,"Lamps, reflectors and electrical equipment",4,Stop lamps,3,"Presence, condition and operation",1.0,,,(c) (i)
278,4.3.1 (c) (ii),(c) A stop lamp: (ii) likely to become detached,Major,"Lamps, reflectors and electrical equipment",4,Stop lamps,3,"Presence, condition and operation",1.0,,,(c) (ii)
279,4.3.2 (a) (i),(a) Stop lamp(s): (i) switch does not operate in accordance with the requirements,Minor,"Lamps, reflectors and electrical equipment",4,Stop lamps,3,Switching,2.0,,,(a) (i)
280,4.3.2 (a) (ii),(a) Stop lamp(s): (ii) switch with a delay in operation,Major,"Lamps, reflectors and electrical equipment",4,Stop lamps,3,Switching,2.0,,,(a) (ii)
281,4.3.2 (a) (iii),(a) Stop lamp(s): (iii) remain on when the brakes are released,Dangerous,"Lamps, reflectors and electrical equipment",4,Stop lamps,3,Switching,2.0,,,(a) (iii)
282,4.3.3 (a) (i),(a) A stop lamp: (i) position or intensity not in accordance with the requirements,Minor,"Lamps, reflectors and electrical equipment",4,Stop lamps,3,Compliance with requirements,3.0,,,(a) (i)
283,4.3.3 (a) (ii),(a) A stop lamp: (ii) not showing a steady red light or has significantly reduced light intensity,Major,"Lamps, reflectors and electrical equipment",4,Stop lamps,3,Compliance with requirements,3.0,,,(a) (ii)
284,4.3.3 (b),(b) A stop lamp adversely affected by the operation of any other lamp,Major,"Lamps, reflectors and electrical equipment",4,Stop lamps,3,Compliance with requirements,3.0,,,(b)
285,4.4.1 (a) (i),(a) A direction indicator: (i) lamp with a multiple light source up to 1/2 not functioning,Minor,"Lamps, reflectors and electrical equipment",4,Direction indicators and hazard warning lamps,4,"Presence, condition and operation",1.0,,,(a) (i)
286,4.4.1 (a) (ii),"(a) A direction indicator: (ii) lamp missing, inoperative or in the case of a multiple light source more than 1/2 not functioning",Major,"Lamps, reflectors and electrical equipment",4,Direction indicators and hazard warning lamps,4,"Presence, condition and operation",1.0,,,(a) (ii)
287,4.4.1 (b) (i),(b) A lens defective: (i) which has no effect on emitted light,Minor,"Lamps, reflectors and electrical equipment",4,Direction indicators and hazard warning lamps,4,"Presence, condition and operation",1.0,,,(b) (i)
288,4.4.1 (b) (ii),(b) A lens defective: (ii) such that the emitted light is adversely affected,Major,"Lamps, reflectors and electrical equipment",4,Direction indicators and hazard warning lamps,4,"Presence, condition and operation",1.0,,,(b) (ii)
289,4.4.1 (c) (i),(c) A lamp: (i) not securely attached,Minor,"Lamps, reflectors and electrical equipment",4,Direction indicators and hazard warning lamps,4,"Presence, condition and operation",1.0,,,(c) (i)
290,4.4.1 (c) (ii),(c) A lamp: (ii) likely to become detached,Major,"Lamps, reflectors and electrical equipment",4,Direction indicators and hazard warning lamps,4,"Presence, condition and operation",1.0,,,(c) (ii)
291,4.4.1 (d),(d) Mandatory hazard warning device not fitted,Major,"Lamps, reflectors and electrical equipment",4,Direction indicators and hazard warning lamps,4,"Presence, condition and operation",1.0,,,(d)
292,4.4.1 (e),(e) Mandatory hazard warning device inoperative,Major,"Lamps, reflectors and electrical equipment",4,Direction indicators and hazard warning lamps,4,"Presence, condition and operation",1.0,,,(e)
293,4.4.2 (a) (i),(a) Indicator or hazard warning switch: (i) does not operate in accordance with the requirements,Minor,"Lamps, reflectors and electrical equipment",4,Direction indicators and hazard warning lamps,4,Switching,2.0,,,(a) (i)
294,4.4.2 (a) (ii),(a) Indicator or hazard warning switch: (ii) inoperative,Major,"Lamps, reflectors and electrical equipment",4,Direction indicators and hazard warning lamps,4,Switching,2.0,,,(a) (ii)
295,4.4.3 (a),"(a) Lamp emitted colour, position or intensity not in accordance with the requirements",Major,"Lamps, reflectors and electrical equipment",4,Direction indicators and hazard warning lamps,4,Compliance with requirements,3.0,,,(a)
296,4.4.3 (b),(b) A direction indicator lamp adversely affected by the operation of any other lamp,Major,"Lamps, reflectors and electrical equipment",4,Direction indicators and hazard warning lamps,4,Compliance with requirements,3.0,,,(b)
297,4.4.4 (a),(a) Rate of flashing not between 60 and 120 times per minute,Minor,"Lamps, reflectors and electrical equipment",4,Direction indicators and hazard warning lamps,4,Flashing frequency,4.0,,,(a)
298,4.5.1 (a) (i),(a) (i) A front or rear fog lamp with a multiple light source up to 1/2 not functioning,Minor,"Lamps, reflectors and electrical equipment",4,Front and rear fog lamps,5,"Presence, condition and operation",1.0,,,(a) (i)
299,4.5.1 (a) (ii),"(a) (ii) An obligatory rear fog lamp missing, or a front or rear fog lamp inoperative or in the case of a multiple light source more than 1/2 not functioning",Major,"Lamps, reflectors and electrical equipment",4,Front and rear fog lamps,5,"Presence, condition and operation",1.0,,,(a) (ii)
300,4.5.1 (b) (i),(b) A lens defective: (i) which has no effect on emitted light,Minor,"Lamps, reflectors and electrical equipment",4,Front and rear fog lamps,5,"Presence, condition and operation",1.0,,,(b) (i)
301,4.5.1 (b) (ii),(b) A lens defective: (ii) such that emitted light is adversely affected,Major,"Lamps, reflectors and electrical equipment",4,Front and rear fog lamps,5,"Presence, condition and operation",1.0,,,(b) (ii)
302,4.5.1 (c) (i),(c) A front or rear fog lamp: (i) not securely attached,Minor,"Lamps, reflectors and electrical equipment",4,Front and rear fog lamps,5,"Presence, condition and operation",1.0,,,(c) (i)
303,4.5.1 (c) (ii),(c) A front or rear fog lamp: (ii) likely to become detached,Major,"Lamps, reflectors and electrical equipment",4,Front and rear fog lamps,5,"Presence, condition and operation",1.0,,,(c) (ii)
304,4.5.3 (a),(a) front or rear fog lamp switch inoperative or not operating in accordance with the requirements,Major,"Lamps, reflectors and electrical equipment",4,Front and rear fog lamps,5,Switching,3.0,,,(a)
305,4.5.4 (a),(a) Front or rear fog lamp emitted colour or position not in accordance with the requirements,Major,"Lamps, reflectors and electrical equipment",4,Front and rear fog lamps,5,Compliance with requirements,4.0,,,(a)
306,4.5.4 (b),(b) A rear fog lamp adversely affected by the operation of any other lamp,Major,"Lamps, reflectors and electrical equipment",4,Front and rear fog lamps,5,Compliance with requirements,4.0,,,(b)
307,4.6.1 (a),(a) A reversing lamp inoperative,Major,"Lamps, reflectors and electrical equipment",4,Reversing lamps,6,Condition and operation,1.0,,,(a)
308,4.6.1 (b),(b) A reversing lamp lens defective,Major,"Lamps, reflectors and electrical equipment",4,Reversing lamps,6,Condition and operation,1.0,,,(b)
309,4.6.1 (c) (i),(c) A reversing lamp: (i) not securely attached,Minor,"Lamps, reflectors and electrical equipment",4,Reversing lamps,6,Condition and operation,1.0,,,(c) (i)
310,4.6.1 (c) (ii),(c) A reversing lamp: (ii) likely to become detached,Major,"Lamps, reflectors and electrical equipment",4,Reversing lamps,6,Condition and operation,1.0,,,(c) (ii)
311,4.6.2 (a),(a) Reversing lamp emitted colour or position not in accordance with the requirements,Major,"Lamps, reflectors and electrical equipment",4,Reversing lamps,6,Compliance with requirements,2.0,,,(a)
312,4.6.3 (a),(a) Reversing lamp switch not operating in accordance with the requirements,Major,"Lamps, reflectors and electrical equipment",4,Reversing lamps,6,Switching,3.0,,,(a)
313,4.7.1 (a),(a) A rear registration plate lamp throwing direct white light to the rear,Minor,"Lamps, reflectors and electrical equipment",4,Rear registration plate lamps,7,"Presence, condition and operation",1.0,,,(a)
314,4.7.1 (b) (i),(b) A rear registration plate lamp or light source missing or inoperative: (i) when rear registration plate has 2 or more lamps or light sources,Minor,"Lamps, reflectors and electrical equipment",4,Rear registration plate lamps,7,"Presence, condition and operation",1.0,,,(b) (i)
315,4.7.1 (b) (ii),(b) A rear registration plate lamp or light source missing or inoperative: (ii) when rear registration plate has only one lamp or all lamps not working,Major,"Lamps, reflectors and electrical equipment",4,Rear registration plate lamps,7,"Presence, condition and operation",1.0,,,(b) (ii)
316,4.7.1 (c) (i),(c) A registration plate lamp: (i) not securely attached,Minor,"Lamps, reflectors and electrical equipment",4,Rear registration plate lamps,7,"Presence, condition and operation",1.0,,,(c) (i)
317,4.7.1 (c) (ii),(c) A registration plate lamp: (ii) likely to become detached,Major,"Lamps, reflectors and electrical equipment",4,Rear registration plate lamps,7,"Presence, condition and operation",1.0,,,(c) (ii)
318,4.7.2 (a),(a) Rear registration plate lamp does not illuminate simultaneously with the position lamps,Major,"Lamps, reflectors and electrical equipment",4,Rear registration plate lamps,7,Compliance with requirements,2.0,,,(a)
